nom_propre,objet,oeuvre,type_oeuvre,genre princiapl,genre secondaire,auteur,pays,période,langue,poèmes_rèf
Akira,personnage de fiction,Akira,manga,science-fiction,,Katsuhiro Ōtomo,Japon,1982-1990,japonais,Je suis
néo-Tokyo,ville de fiction,Akira,manga,science-fiction,,Katsuhiro Ōtomo,Japon,1982-1990,japonais,Je suis
Baba,personnage de fiction,Baba is you,jeu vidéo,puzzle,métadiscursif,Arvi Teikari,Finlande,2017,finlandais,Je suis
César,personnage de fiction,La Planète des singes : Les Origines,film,science-fiction,,Rupert Wyatt,États-Unis,2011,anglais,Je suis
Diablo,personnage de fiction,Diablo II,jeu vidéo,fantasy,dark fantasy,David Brevik,États-Unis,1997,anglais,Je suis
Edward Elric,personnage de fiction,Fullmetal Alchemist: Brotherhood,animation,fantasy,steampunk,Yasuhiro Irie,Japon,2009-2010,japonais,Je suis
Hobbit,race de fiction,Le Seigneur des Anneaux,roman,fantasy,high fantasy,J. R. R. Tolkien,Royaume-Uni,1954-1955,anglais,Je suis
Frodon,personnage de fiction,Le Seigneur des Anneaux,roman,fantasy,high fantasy,J. R. R. Tolkien,Royaume-Uni,1954-1955,anglais,Je suis
Guts,personnage de fiction,Berserk,manga,fantasy,dark fantasy,Kentarō Miura,Japon,1989-aujourd'hui,japonais,Je suis
Hellboy,personnage de fiction,Hellboy,film,fantastique,,Guillermo del Toro,États-Unis,2004,anglais,Je suis
Isaac,personnage de fiction,The Binding of Isaac,jeu vidéo,fantastique,horreur,Edmund McMillen,États-Unis,2011,anglais,Je suis
Monsieur Jourdain,personnage de fiction,Le Bourgeois gentilhomme,théâtre,tranche de vie,comique,Molière,France,1670,français,Je suis
Kobayashi-san,personnage de fiction,Miss Kobayashi's Dragon Maid,animation,tranche de vie,comique,Coolkyousinnjya,Japon,2017,japonais,Je suis
Link,personnage de fiction,The Legend of Zelda: Breath of the Wild,jeu vidéo,fantasy,high fantasy,Shigeru Miyamoto,Japon,2017,japonais,Je suis
Zelda,personnage de fiction,The Legend of Zelda: Breath of the Wild,jeu vidéo,fantasy,high fantasy,Shigeru Miyamoto,Japon,2017,japonais,Je suis
Malin,personnage de fiction,personnage biblique,dicton,fantasy,,,France,,français,Je suis
Mario,personnage de fiction,Super Mario Bros.,jeu vidéo,plate-forme,,Shigeru Miyamoto,Japon,1985,japonais,Je suis
Naruto,personnage de fiction,Naruto,animation,fantasy,,Hayato Date,Japon,2002-2007,japonais,Je suis
Onizuka,personnage de fiction,Great Teacher Onizuka,manga,tranche de vie,comique,Tōru Fujisawa,Japon,1997-2002,japonais,Je suis
Picsou,personnage de fiction,Journal de Mickey,bande-dessinée,tranche de vie,comique,Disney,États-Unis,,anglais,Je suis
Don Quichotte,personnage de fiction,L'Ingénieux Hidalgo Don Quichotte de la Manche,roman,tranche de vie,comique,Miguel de Cervantès,Espagne,1605-1615,espagnol,Je suis
Riko,personnage de fiction,Made in Abyss,manga,fantasy,dark fantasy,Akihito Tsukushi,Japon,2012-aujourd'hui,japonais,Je suis
Saitama,personnage de fiction,One-Punch Man,animation,fantasy,comique,ONE,Japon,2009-aujourd'hui,japonais,Je suis
Thrall,personnage de fiction,Warcraft III,jeu vidéo,fantasy,high fantasy,Blizzard Entertainment,États-Unis,2003,anglais,Je suis
Ulysse,personnage de fiction,Odyssée,poésie épique,fantasy,high fantasy,Homère,Grèce,8e siècle av. J.-C.,grec ancien,Je suis
Vegeta,personnage de fiction,Dragon Ball,animation,fantasy,comique,Akira Toriyama,Japon,1986-1995,japonais,Je suis
Songoku,personnage de fiction,Dragon Ball,animation,fantasy,comique,Akira Toriyama,Japon,1986-1995,japonais,Je suis
Winston,personnage de fiction,Overwatch,jeu vidéo,science-fiction,,Blizzard Entertainment,États-Unis,2016,anglais,Je suis
Xénomorphe,personnage de fiction,Xenomorphe,film,fantastique,,Ridley Scott,États-Unis,1979,anglais,Je suis
Yoda,personnage de fiction,Star Wars,film,fantasy,,George Lucas,États-Unis,1977-1983,anglais,Je suis
Zerathul,personnage de fiction,StarCraft II,jeu vidéo,science-fiction,,Blizzard Entertainment,États-Unis,2010,anglais,Je suis